make all && bin/test_stats --gtest_filter=Stats.Opt
mkdir -p `dirname tmp/test_stats.cpp.d`
c++ -pthread -Iinclude -g -O2 -std=c++17 -fPIC -Ilib/googletest-1.8.1/googletest/include -Ilib/googletest-1.8.1/googlemock/include -MM -MT 'tmp/test_stats.cpp.o' src/test_stats.cpp > tmp/test_stats.cpp.d
mkdir -p `dirname tmp/test_stats.cpp.o`
c++ -pthread -Iinclude -g -O2 -std=c++17 -fPIC -Ilib/googletest-1.8.1/googletest/include -Ilib/googletest-1.8.1/googlemock/include -c -o tmp/test_stats.cpp.o src/test_stats.cpp
mkdir -p `dirname bin/test_stats`
c++ -pthread -Iinclude -g -O2 -std=c++17 -fPIC -Ilib/googletest-1.8.1/googletest/include -Ilib/googletest-1.8.1/googlemock/include -o bin/test_stats tmp/test_stats.cpp.o tmp/messenger.cpp.o tmp/rng.cpp.o tmp/deck.cpp.o tmp/hello.cpp.o tmp/search.cpp.o tmp/card.cpp.o  lib/libgooglemock-1.8.1.so lib/libgoogletest-1.8.1.so
Note: Google Test filter = Stats.Opt
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from Stats
[ RUN      ] Stats.Opt
n,cipherZth,cipherOffset,cutZth,cutOffset,cipherMean,cipherSd,cipher2Mean,cipher2Sd,cutMean,cutSd,cut2Mean,cut2Sd,xyMean,xySd
10,0,0,3,1,0.482036,0.971477,74.8976,1.555,0.892441,0.662101,64.7497,0.197471,64.022,0.733834
10,0,0,3,2,-0.363886,2.53129,56.1169,2.53831,-0.937286,1.78582,64.7631,3.3909,65.4237,4.01015
10,0,0,3,3,1.13048,6.19366,62.2564,22.148,0.44499,10.5444,68.4756,18.1654,69.4312,19.1566
10,0,0,3,4,0.170487,3.0027,55.2162,7.28237,0.477911,4.05346,65.577,3.52753,65.8011,2.58166
10,0,0,3,5,0.855597,1.56987,53.5458,2.85764,1.29966,1.84508,33.878,1.55917,34.0786,1.82988
10,0,0,3,35,0.848578,1.4178,57.6339,24.2922,1.27274,1.85151,37.7724,19.5611,38.1702,17.6672
10,0,0,3,36,2.22173,3.77855,55.6399,6.29956,2.47749,5.04659,69.0968,8.7324,65.9362,5.07158
10,0,0,3,37,-1.06792,0.735471,58.0424,11.7386,-0.259887,1.3411,62.3907,5.39977,67.8323,5.08259
10,0,0,3,38,-0.664002,3.11114,59.3102,16.4989,-1.10232,1.34038,67.9104,10.9985,68.1653,9.72473
10,0,0,3,39,1.50567,2.67958,49.6003,2.34815,-1.57027,0.273785,65.5237,2.64346,65.7125,1.77689
10,0,0,4,-1,0.505239,3.82642,330.775,2.25236,-0.13358,5.16904,325.134,1.73477,325.269,1.6231
10,0,0,4,0,-0.80527,1.39434,64.3637,4.09833,-2.91548,4.21468e-08,2991.03,nan,324.539,0.223438
10,0,0,4,1,3.30314,12.6554,328.63,16.1783,3.14278,9.98558,333.063,10.802,73.9185,34.5377
10,0,0,4,2,-0.578623,0.551363,28.5556,6.85834,0.503336,1.72218,330.342,0.359248,64.6992,1.87583
10,0,0,4,3,1.07918,3.3084,34.3325,15.8608,4.20778,9.68688,331.822,5.39648,69.316,14.0257
10,0,0,4,4,0.719453,3.28638,32.5727,7.24948,1.99076,6.54499,330.736,0.797366,68.1974,7.23361
10,0,0,4,5,0.761883,4.03966,34.0044,9.17769,1.12732,5.2221,325.354,1.58202,34.7484,7.77753
10,0,0,4,35,1.70637,4.58527,34.3434,9.29268,2.92021,6.03272,325.547,1.82572,36.499,8.45958
10,0,0,4,36,1.4044,3.19093,32.7682,8.1352,2.57503,3.7706,331.211,2.54161,67.462,7.06118
10,0,0,4,37,-0.865513,3.61666,30.0416,4.10735,-2.07761,0.183115,330.329,0.54195,65.6548,5.64012
10,0,0,4,38,-0.754302,1.10685,30.3033,7.51585,-0.988996,0.960158,330.483,0.715214,64.6161,3.51255
10,0,0,4,39,0.0465318,2.64487,43.098,8.04851,-0.990656,1.19116,330.704,0.523615,66.061,6.1701
10,0,0,5,-1,-0.698295,1.66424,65.2175,5.54476,-2.91548,4.21468e-08,2991.03,nan,324.578,0.286287
10,0,0,5,0,0.124221,1.20987,63.7347,1.90886,-0.887548,0.547397,324.531,0.0536426,324.665,0.081182
10,0,0,5,1,1.26367,1.60393,10.7513,5.88273,1.28699,2.65311,324.903,0.472681,64.6115,3.08817
10,0,0,5,2,2.12638,8.1979,73.6697,11.042,2.77929,7.94826,325.571,2.52923,68.0337,9.14376
10,0,0,5,3,0.179981,1.17114,74.3049,0.43236,-0.734378,0.845664,324.642,0.152691,64.5489,1.19632
10,0,0,5,4,-1.09188,0.731972,74.8085,1.44593,-1.19355,0.468587,324.486,0.0402415,64.55,0.238506
10,0,0,5,5,-0.768946,1.05601,72.1996,0.116658,0.534682,0.475865,324.588,0.240701,31.3869,1.81921
10,0,0,5,35,-0.827154,0.88888,72.1815,0.145438,0.419106,0.399181,324.557,0.201956,31.1258,1.53861
10,0,0,5,36,-0.786633,1.90663,64.7422,3.2439,-0.7408,2.50809,324.528,0.163061,64.6196,4.51433
10,0,0,5,37,0.870198,2.26602,75.181,2.82057,-1.44523,0.747008,324.556,0.0977847,65.1844,0.722328
10,0,0,5,38,2.14802,4.00678,77.7485,9.9299,4.02457,2.84213,326.321,5.51295,72.6047,29.5105
10,0,0,5,39,12.8366,32.959,360.237,51.767,11.6877,39.0872,337.228,51.109,91.4271,88.1975
10,0,1,0,-1,2.00001,2.85331,49.4255,4.09975,3.56036,3.10887,325.052,0.598172,324.986,0.539245
10,0,1,0,0,-0.826884,0.189866,25.1009,0.121466,-1.09449,0.198067,324.513,0.00592951,330.26,0.0180589
10,0,1,0,1,-1.28201,0.750418,63.4384,2.13095,-1.28201,0.750418,63.4384,2.13095,2991.03,0.00355841
10,0,1,0,2,-0.924307,2.3747,12.5134,4.62989,-0.603518,1.92147,65.4136,4.00136,330.245,0.793953
10,0,1,0,3,-1.12022,1.38138,15.8143,5.80397,-1.04352,0.988672,65.1418,1.66311,330.296,0.246675
10,0,1,0,4,1.65496,2.41199,19.5787,4.0879,2.98105,3.17622,65.9911,3.23321,330.94,1.06457
10,0,1,0,5,0.512979,3.38544,20.3949,5.43571,-1.00309,1.31793,32.4514,4.40571,330.242,0.105361
10,0,1,0,35,0.26819,3.50614,21.0904,5.34202,-1.12699,1.3849,33.6311,4.67161,330.239,0.108375
10,0,1,0,36,-0.292151,0.986445,15.4647,14.7527,0.357034,2.90856,66.0771,8.76401,324.82,1.6537
10,0,1,0,37,-1.09656,0.723296,14.3775,3.77815,0.292486,0.997705,64.4561,1.11395,330.206,0.330634
10,0,1,0,38,-0.700427,0.519502,11.9495,5.79729,0.402933,1.21696,65.1761,2.35429,330.361,0.580621
10,0,1,0,39,-0.0915865,1.22833,16.971,3.07221,0.648903,2.82278,66.3615,3.92511,330.401,0.414178
10,0,1,1,-1,2.16469,15.0593,33.8114,42.4121,0.721986,9.20483,327.181,12.7005,333.559,15.7061
10,0,1,1,0,3.93967,7.39789,19.8289,10.3682,0.797992,4.41217,325.294,1.37255,69.4048,8.22955
10,0,1,1,1,71.7675,330.262,235.585,970.586,83.9001,398.939,355.047,1383.75,572.66,1138.47
10,0,1,1,2,2.05189,2.99621,51.3885,2.29401,2.125,2.31771,59.3834,3.6638,71.0241,2.12171
10,0,1,1,3,2.02206,4.35233,28.8194,9.21207,2.38177,4.18258,65.824,2.52595,72.8941,1.77385
10,0,1,1,4,1.84116,0.141491,21.3566,0.149094,0.558757,0.123643,63.3158,0.0725842,67.0204,0.0946858
10,0,1,1,5,2.95908,7.72344,33.6228,22.1204,1.90608,4.06973,35.6313,18.5139,82.0308,15.7144
10,0,1,1,35,2.17067,6.03525,30.3946,8.95625,1.62582,2.92785,32.6499,8.10681,79.2215,6.70887
10,0,1,1,36,0.917195,4.53952,16.1183,15.3333,2.1388,6.88235,64.9474,9.99013,73.1951,7.35827
10,0,1,1,37,0.220461,3.1372,31.1891,4.398,0.128007,1.60942,62.8647,3.98065,71.469,1.16409
10,0,1,1,38,4.90791,4.86792,31.3001,6.24481,2.48549,2.48551,66.2256,2.57807,63.7123,5.34062
10,0,1,1,39,-0.694386,0.804911,22.0258,2.08017,1.7301,1.38256,65.8665,0.726319,58.6916,1.46058
10,0,1,2,-1,6.21319,26.2215,34.7613,91.5096,6.7745,37.3256,336.454,56.3907,84.2539,87.4073
10,0,1,2,0,11.2487,32.3682,78.4568,129.937,14.3859,40.9844,345.107,85.1776,103.877,140.467
10,0,1,2,1,0.553327,1.75399,34.2173,4.95268,3.34938,2.52484,68.3594,7.02344,335.575,0.997596
10,0,1,2,2,-0.832548,0.774062,17.1045,1.52335,-1.71263,0.20946,63.2773,1.99473,75.7555,3.25393
10,0,1,2,3,-0.618212,0.292229,3.1661,0.202433,-1.15969,0.202803,64.2871,0.581493,75.8307,1.42564
10,0,1,2,4,1.39149,1.8709,13.5439,1.51076,0.666482,1.48969,65.629,2.29322,79.0143,1.31587
10,0,1,2,5,-0.0089891,2.83225,10.9865,4.4354,0.978116,1.98397,34.483,2.25471,81.6179,2.13787
10,0,1,2,35,1.07772,8.33232,15.6112,26.8571,2.05935,6.23462,38.7884,21.5502,85.4978,18.4711
10,0,1,2,36,0.689362,2.01636,11.7444,9.07212,0.688928,2.2639,66.3772,4.30462,77.0727,3.61891
10,0,1,2,37,-1.20782,0.293895,7.96048,1.90737,-1.00742,0.546318,63.9101,0.770112,77.3368,1.08103
10,0,1,2,38,2.44237,3.46198,13.8441,4.62766,3.13334,2.41744,66.812,3.07204,77.0102,2.71501
10,0,1,2,39,-1.24881,0.455663,17.972,5.42108,1.14966,1.72537,64.4703,3.92076,39.3094,2.95167
10,0,1,3,-1,2.68656,7.07358,45.9537,11.3984,3.70868,8.90261,325.732,2.76724,68.9879,11.2383
10,0,1,3,0,2.29311,4.75112,30.7141,12.3365,0.846724,7.08081,325.39,2.35951,68.3135,8.33668
